Designator;Mid X;Mid Y;Rotation;Layer
C1;197.75;-118.364;90;top
C2;193.05;-117.7;270;top
C3;210.947;-123.3678;90;top
C4;208.7118;-126.6008;180;top
C5;212.6996;-123.3678;90;top
C6;217.59164;-121.0183;0;top
C7;217.6018;-135.4074;0;top
C8;223.393;-116.459;90;top
C9;210.1215;-131.699;0;top
C10;202.0824;-133.4008;180;top
C11;199.5932;-134.3915;270;top
C12;187.3885;-126.746;270;top
C13;187.3885;-123.5075;90;top
C14;201.3;-112.7;270;top
C15;207.7;-122.6;270;top
C16;209.2;-122.6;90;top
C17;204.3176;-121.0056;90;top
C18;196.2;-118.35;90;top
C19;190.75;-134.3;180;top
C20;212.6;-119;270;top
C21;203.5;-115;180;top
C22;212.9;-112.1;90;top
C23;211.4;-112.1;90;top
C24;190.75;-137.4;0;top
C26;194.945;-121.158;0;top
C27;202.946;-131.85;180;top
C28;193.15;-114.25;90;top
D1;210.3;-138.43;90;top
D2;203.708;-138.43;90;top
D3;217.8304;-138.43;90;top
D4;218.65;-113.7;270;top
D5;188.6585;-121.158;180;top
D6;226.3775;-108.966;90;top
D7;202.09;-107.7;90;top
D8;221.8055;-108.966;90;top
J12;194.6656;-103.1748;180;top
L1;196.35;-135.85;180;top
L2;196.35;-133.85;180;top
L3;206.65;-108.2;0;top
Q1;207.772;-138.2395;270;top
Q2;201.1045;-138.176;270;top
Q4;214.9;-138.049;0;top
R1;190.75;-132.75;180;top
R2;193.3448;-134.4423;90;top
R3;191.77;-121.158;180;top
R4;217.96248;-132.18668;90;top
R5;193.3956;-131.3688;270;top
R6;199.075;-113.475;0;top
R7;217.97772;-124.09124;270;top
R8;205.9432;-135.128;0;top
R9;192.786;-124.6505;90;top
R10;202.8825;-135.128;180;top
R11;224.8535;-108.966;90;top
R12;209.3976;-135.128;180;top
R13;211.8;-138.43;90;top
R14;205.232;-138.43;90;top
R15;219.4052;-138.43;90;top
R16;208.7245;-130.175;0;top
R17;208.7373;-128.3788;180;top
R18;199.95;-119.05;270;top
R19;194.6;-117.7;270;top
R20;223.3295;-108.966;90;top
R21;190.75;-129.5;180;top
R22;190.75;-131.05;0;top
R23;190.75;-135.85;180;top
R24;208.7245;-125.1;180;top
R25;194.15;-106.45;180;top
R26;197.25;-106.45;180;top
R27;195.4;-113.5;180;top
R28;199.85;-131.85;0;top
R29;202.8;-112.7;270;top
R30;209.1;-112.3;0;top
R31;206;-112.3;0;top
R32;218.5;-118.5;270;top
R33;212.45;-115.1;270;top
U1;208.7;-117.3;90;top
U2;213.5378;-128.1248;270;top
U5;199.7336;-125.7331;0;top
U6;196.1;-110;0;top
Y1;190.119;-125.095;90;top
